model,model name in scikit learn,how it works,tasks best at,linearity,target type,interpretability,handles nonlinearity well,good for dataset size,robust to outliers,common evaluation metrics
ARDRegression,sklearn.linear_model.ARDRegression,Bayesian linear regression with per-feature relevance shrinkage.,sparse linear regression with automatic relevance determination,linear,continuous,high,no,all,no,RMSE; MAE; R²
BayesianRidge,sklearn.linear_model.BayesianRidge,Bayesian linear regression with Gaussian-prior shrinkage.,regularized linear prediction with uncertainty-aware coefficients,linear,continuous,high,no,all,no,RMSE; MAE; R²
ElasticNet,sklearn.linear_model.ElasticNet,Linear regression with combined L1 and L2 regularization.,correlated predictors plus sparsity,linear,continuous,high,no,all / large-friendly,no,RMSE; MAE; R²
ElasticNetCV,sklearn.linear_model.ElasticNetCV,Elastic Net with built-in cross-validation for penalty tuning.,Elastic Net when you want internal tuning,linear,continuous,high,no,all / large-friendly,no,RMSE; MAE; R²
GammaRegressor,sklearn.linear_model.GammaRegressor,Generalized linear model for positive continuous targets with Gamma noise.,positive right-skewed targets such as costs or durations,linear,continuous,high,no,all,no,mean Gamma deviance; MAE; RMSE; D²
HuberRegressor,sklearn.linear_model.HuberRegressor,Linear regression with Huber loss to reduce the impact of outliers.,linear regression with moderate outliers,linear,continuous,high,no,all,yes,RMSE; MAE; R²
Lars,sklearn.linear_model.Lars,Least-angle algorithm that adds predictors along the strongest residual-correlation path.,high-dimensional sparse problems with a full coefficient path,linear,continuous,high,no,small-medium,no,RMSE; MAE; R²
LarsCV,sklearn.linear_model.LarsCV,LARS with cross-validation to choose the best model along the path.,same as Lars with built-in model-size selection,linear,continuous,high,no,small-medium,no,RMSE; MAE; R²
Lasso,sklearn.linear_model.Lasso,Linear regression with L1 shrinkage that can zero out coefficients.,feature selection; sparse linear models; interpretability,linear,continuous,high,no,all / large-friendly,no,RMSE; MAE; R²
LassoCV,sklearn.linear_model.LassoCV,Lasso with built-in cross-validation to choose the L1 penalty.,sparse linear models with built-in penalty selection,linear,continuous,high,no,all / large-friendly,no,RMSE; MAE; R²
LassoLars,sklearn.linear_model.LassoLars,Lasso solved with the least-angle regression path algorithm.,sparse high-dimensional regression using the LARS path,linear,continuous,high,no,small-medium,no,RMSE; MAE; R²
LassoLarsCV,sklearn.linear_model.LassoLarsCV,LassoLars with built-in cross-validation.,LassoLars with internal tuning,linear,continuous,high,no,small-medium,no,RMSE; MAE; R²
LassoLarsIC,sklearn.linear_model.LassoLarsIC,LassoLars selecting model size with AIC or BIC.,fast sparse regression when AIC/BIC model choice is desired,linear,continuous,high,no,small-medium,no,RMSE; MAE; R²
LinearRegression,sklearn.linear_model.LinearRegression,Fits coefficients by minimizing squared error in a linear model.,baseline linear regression; coefficient interpretation; quick benchmark,linear,continuous,high,no,all / large-friendly,no,RMSE; MAE; R²
LogisticRegression,sklearn.linear_model.LogisticRegression,Linear classifier using the logistic link to model class probabilities.,strong linear baseline for binary or multiclass classification,linear,binary / multiclass,high,no,all / large-friendly,no,accuracy; macro F1; ROC-AUC / PR-AUC
LogisticRegressionCV,sklearn.linear_model.LogisticRegressionCV,Logistic regression with built-in cross-validation for C and penalty choices.,logistic classification with internal hyperparameter tuning,linear,binary / multiclass,high,no,all / large-friendly,no,accuracy; macro F1; ROC-AUC / PR-AUC
MultiTaskElasticNet,sklearn.linear_model.MultiTaskElasticNet,Joint multioutput linear regression with L1/L2 regularization.,shared multioutput structure with correlated predictors,linear,continuous / multioutput,low,yes,all,no,RMSE; MAE; R²
MultiTaskElasticNetCV,sklearn.linear_model.MultiTaskElasticNetCV,MultiTaskElasticNet with built-in cross-validation.,same as MultiTaskElasticNet with built-in tuning,linear,continuous / multioutput,low,yes,all,no,RMSE; MAE; R²
MultiTaskLasso,sklearn.linear_model.MultiTaskLasso,Joint sparse linear regression across multiple continuous targets.,shared sparse structure across several continuous outcomes,linear,continuous / multioutput,low,yes,all,no,RMSE; MAE; R²
MultiTaskLassoCV,sklearn.linear_model.MultiTaskLassoCV,MultiTaskLasso with built-in cross-validation.,same as MultiTaskLasso with built-in tuning,linear,continuous / multioutput,low,yes,all,no,RMSE; MAE; R²
OrthogonalMatchingPursuit,sklearn.linear_model.OrthogonalMatchingPursuit,Greedy sparse linear regression selecting one predictor at a time.,very sparse signal recovery and compressed-sensing-style problems,linear,continuous,high,no,small-medium,no,RMSE; MAE; R²
OrthogonalMatchingPursuitCV,sklearn.linear_model.OrthogonalMatchingPursuitCV,OMP with cross-validation to choose sparsity level.,OMP with automatic sparsity selection,linear,continuous,high,no,small-medium,no,RMSE; MAE; R²
PoissonRegressor,sklearn.linear_model.PoissonRegressor,Generalized linear model for count targets with a Poisson distribution.,count outcomes such as events or visits,linear,continuous,high,no,all,no,mean Poisson deviance; MAE; RMSE; D²
QuantileRegressor,sklearn.linear_model.QuantileRegressor,Linear model fitted to a chosen conditional quantile using pinball loss.,"conditional quantiles, asymmetric loss, and prediction-interval work",linear,continuous,high,no,all,no,pinball loss; MAE; RMSE
RANSACRegressor,sklearn.linear_model.RANSACRegressor,Repeatedly fits on random subsets and keeps the model with the best inlier set.,heavy contamination by gross outliers,linear,continuous,medium,limited,all,yes,RMSE; MAE; R²
Ridge,sklearn.linear_model.Ridge,Linear regression with L2 shrinkage to stabilize coefficients.,collinear features; stable linear prediction; regularized baseline,linear,continuous,high,no,all / large-friendly,no,RMSE; MAE; R²
RidgeCV,sklearn.linear_model.RidgeCV,Ridge regression with built-in cross-validation over regularization strength.,same as Ridge when you want built-in alpha selection,linear,continuous,high,no,all / large-friendly,no,RMSE; MAE; R²
RidgeClassifier,sklearn.linear_model.RidgeClassifier,Classifier based on ridge-regularized linear decision functions.,fast linear classification in high-dimensional settings,linear,binary / multiclass,high,no,all / large-friendly,no,accuracy; macro F1; ROC-AUC / PR-AUC
RidgeClassifierCV,sklearn.linear_model.RidgeClassifierCV,RidgeClassifier with built-in cross-validation.,same as RidgeClassifier with built-in tuning,linear,binary / multiclass,high,no,all / large-friendly,no,accuracy; macro F1; ROC-AUC / PR-AUC
TheilSenRegressor,sklearn.linear_model.TheilSenRegressor,Robust linear regression using medians across many subsample fits.,robust linear fits on small-to-medium datasets with outliers,linear,continuous,high,limited,all,yes,RMSE; MAE; R²
