model,model name in scikit learn,how it works,tasks best at
Ordinary Least Squares,sklearn.linear_model.LinearRegression,Fits a linear function by minimizing residual sum of squares between predictions and observed targets.,"Baseline regression, interpretable coefficient estimates, roughly linear relationships."
Ridge Regression,sklearn.linear_model.Ridge / RidgeCV,Linear regression with L2 regularization that shrinks coefficients to reduce variance and multicollinearity problems.,"Linear problems with correlated predictors, many moderately useful features, stable prediction."
Lasso Regression,sklearn.linear_model.Lasso / LassoCV,Linear regression with L1 regularization that can shrink some coefficients exactly to zero.,"Feature selection, sparse models, interpretability when only a subset of predictors matters."
Elastic Net,sklearn.linear_model.ElasticNet / ElasticNetCV,Combines L1 and L2 penalties so it both shrinks coefficients and can zero some out.,High-dimensional data with correlated predictors where you want both stability and feature selection.
Multi-task Lasso,sklearn.linear_model.MultiTaskLasso,Learns one sparse coefficient pattern jointly across multiple related target variables.,Multi-output regression when the same predictors should matter across several outcomes.
Multi-task Elastic Net,sklearn.linear_model.MultiTaskElasticNet,Joint multi-output linear model with combined L1 and L2 penalties.,Multi-output problems with correlated predictors and shared structure across outcomes.
Least Angle Regression,sklearn.linear_model.Lars / LarsCV,Builds a linear model by adding predictors gradually along the direction most correlated with the residual.,"High-dimensional linear problems, especially when you want a full path of sparse solutions efficiently."
Lasso via LARS,sklearn.linear_model.LassoLars / LassoLarsCV / LassoLarsIC,Uses the LARS procedure to fit Lasso-type sparse linear models.,Sparse high-dimensional settings where LARS is computationally attractive.
Orthogonal Matching Pursuit,sklearn.linear_model.OrthogonalMatchingPursuit / OrthogonalMatchingPursuitCV,Greedy sparse regression that repeatedly picks the feature that most reduces residual error and refits on the selected set.,"Very sparse signal recovery, compressed sensing style problems, small subsets of truly relevant features."
Bayesian Ridge Regression,sklearn.linear_model.BayesianRidge,"Bayesian linear regression with priors over coefficients, yielding shrinkage and uncertainty-aware estimates.",Linear problems where regularization is needed and probabilistic coefficient estimates are useful.
ARD Regression,sklearn.linear_model.ARDRegression,"Bayesian linear model with separate relevance priors per feature, aggressively shrinking irrelevant ones.",Sparse linear regression with automatic feature relevance determination.
Poisson Regression,sklearn.linear_model.PoissonRegressor,Generalized linear model with a log link and Poisson-distributed target assumption.,"Count outcomes such as events, visits, or occurrences that are nonnegative integers."
Gamma Regression,sklearn.linear_model.GammaRegressor,Generalized linear model for positive continuous targets with Gamma-distributed noise and a log link.,"Positive, right-skewed continuous outcomes like costs, durations, or insurance claims."
Tweedie Regression,sklearn.linear_model.TweedieRegressor,Generalized linear model covering several target distributions through a power parameter.,"Positive data, zero-inflated positive data, or other outcomes that fit the Tweedie family."
SGD Regressor,sklearn.linear_model.SGDRegressor,Fits a linear model using stochastic gradient descent on one sample or minibatch at a time.,"Very large or streaming datasets, sparse data, online learning."
Huber Regression,sklearn.linear_model.HuberRegressor,"Linear model optimized with Huber loss, which is quadratic for small errors and linear for large ones.",Data with moderate outliers where you still want a mostly linear model.
RANSAC Regression,sklearn.linear_model.RANSACRegressor,Repeatedly fits a base model on random subsets and keeps the fit with the largest consensus set of inliers.,Datasets with many gross outliers or contaminated observations.
Theil-Sen Regression,sklearn.linear_model.TheilSenRegressor,Robust linear estimator based on medians over many subsample slopes.,Small-to-medium datasets needing robust linear fits under outliers.
Quantile Regression,sklearn.linear_model.QuantileRegressor,Fits a chosen conditional quantile rather than the conditional mean using pinball loss.,"Asymmetric prediction, heteroskedastic data, prediction intervals, lower- or upper-tail modeling."
Polynomial Regression,sklearn.preprocessing.PolynomialFeatures + sklearn.linear_model.LinearRegression (or Ridge/Lasso),"Expands features into polynomial terms, then fits a linear model in the expanded feature space.",Nonlinear but still smooth relationships when you want a simple interpretable extension of linear regression.
Kernel Ridge Regression,sklearn.kernel_ridge.KernelRidge,"Applies ridge regression in a kernel-defined feature space, allowing nonlinear fits without explicit feature expansion.",Nonlinear regression on small-to-medium datasets where a smooth kernelized fit works well.
Support Vector Regression,sklearn.svm.SVR,Fits a margin-based regression function that ignores small errors inside an epsilon tube and penalizes larger ones.,"Nonlinear regression on smaller datasets, especially when kernel methods help."
Nu-Support Vector Regression,sklearn.svm.NuSVR,"Variant of SVR controlled by nu, which sets bounds related to support vectors and margin errors.",Similar use cases as SVR when nu is a more convenient tuning parameter.
Linear Support Vector Regression,sklearn.svm.LinearSVR,Linear-margin support vector regression optimized for larger datasets than kernel SVR.,"Large-scale linear regression problems, especially with many features."
k-Nearest Neighbors Regression,sklearn.neighbors.KNeighborsRegressor,Predicts from the average or distance-weighted average target of the k nearest training points.,"Local nonlinear structure, low-dimensional data, flexible decision boundaries with enough data."
Radius Neighbors Regression,sklearn.neighbors.RadiusNeighborsRegressor,Predicts using training points that fall within a fixed radius of the query point.,Problems with uneven sample density where a fixed neighborhood radius is more natural than fixed k.
Gaussian Process Regression,sklearn.gaussian_process.GaussianProcessRegressor,Places a Gaussian process prior over functions and uses a kernel to model smoothness and uncertainty.,"Small datasets, smooth nonlinear functions, uncertainty quantification, Bayesian optimization."
Partial Least Squares Regression,sklearn.cross_decomposition.PLSRegression,"Projects predictors and targets into shared latent components that maximize their covariance, then regresses in that space.","Many correlated predictors, multicollinearity, small-n large-p settings."
Decision Tree Regression,sklearn.tree.DecisionTreeRegressor,Recursively splits the feature space into regions and predicts a constant value within each terminal leaf.,"Nonlinear interactions, mixed feature types, interpretable rule-based regression."
Random Forest Regression,sklearn.ensemble.RandomForestRegressor,Fits many decision trees on bootstrapped samples with feature randomness and averages their predictions.,"Strong default nonlinear regression, tabular data, interactions, low tuning burden."
Extra Trees Regression,sklearn.ensemble.ExtraTreesRegressor,Builds many highly randomized trees and averages them to reduce variance.,"Fast, strong tabular regression when extra randomness helps generalization."
AdaBoost Regression,sklearn.ensemble.AdaBoostRegressor,"Sequentially fits weak learners, reweighting attention toward examples previous models predicted poorly.","Improving simple base regressors, moderate-size tabular problems."
Gradient Boosting Regression,sklearn.ensemble.GradientBoostingRegressor,Builds an additive ensemble stage by stage by fitting each tree to the negative gradient of the loss.,"High-performance tabular regression, nonlinear effects, custom losses, moderate dataset sizes."
Histogram Gradient Boosting Regression,sklearn.ensemble.HistGradientBoostingRegressor,A faster gradient boosting variant that bins features into histograms before fitting trees.,"Medium-to-large tabular datasets, strong predictive performance, monotonic constraints."
Bagging Regression,sklearn.ensemble.BaggingRegressor,Fits many copies of a base regressor on random subsets and averages them.,Variance reduction for unstable base learners like decision trees.
Voting Regression,sklearn.ensemble.VotingRegressor,Combines several different regressors by averaging their predictions.,Simple ensembling when multiple diverse models each perform reasonably well.
Stacking Regression,sklearn.ensemble.StackingRegressor,Uses predictions from base regressors as inputs to a final regressor that learns how to combine them.,Blending complementary models for better accuracy on tabular data.
Isotonic Regression,sklearn.isotonic.IsotonicRegression,Fits a non-decreasing or non-increasing piecewise-constant function under an order constraint.,One-dimensional monotonic relationships and calibration-style problems.
Multilayer Perceptron Regression,sklearn.neural_network.MLPRegressor,Feed-forward neural network trained by backpropagation to learn flexible nonlinear mappings.,Complex nonlinear patterns in tabular data when you have enough data and careful tuning.
